Pid,Ppid,Name,Path,CommandLine,Hash,Username,Authenticode,Family,Type,Status,Laddr,Lport,Raddr,Rport,Timestamp
688,836,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k RPCSS -p,"{""MD5"":""b1c5636ec08026fd0f8ccbff49ed7e59"",""SHA1"":""d87367d5078c476b109dc3312b62781513330055"",""SHA256"":""44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189""}",NT AUTHORITY\NETWORK SERVICE,"{""Filename"":""C:\\Windows\\System32\\svchost.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""33000005402a4ad7d23121a615000000000540"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-04-25T15:21:48Z
4,0,System,,,,,,IPv4,TCP,LISTEN,192.168.56.102,139,0.0.0.0,0,2026-04-25T15:21:49Z
5712,836,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc,"{""MD5"":""b1c5636ec08026fd0f8ccbff49ed7e59"",""SHA1"":""d87367d5078c476b109dc3312b62781513330055"",""SHA256"":""44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189""}",NT AUTHORITY\LOCAL SERVICE,"{""Filename"":""C:\\Windows\\System32\\svchost.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""33000005402a4ad7d23121a615000000000540"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-04-25T15:22:00Z
2444,836,elastic-agent.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\elastic-agent.exe,"""C:\Program Files\Elastic\Agent\elastic-agent.exe""","{""MD5"":""c00a8b109a07e85b2ab7e57a8ebbb5bc"",""SHA1"":""6b9ce2088ca62087f0e634a910f63d92e8591015"",""SHA256"":""fd833d70eab6258a8618801ca6d3538cf51375062c620575d27a2bb5d0a6f623""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\elastic-agent.exe"",""ProgramName"":"""",""PublisherLink"":null,""MoreInfoLink"":"""",""SerialNumber"":""ed3d34f2aadc84a5d3d65f14a1e05f5"",""IssuerName"":""C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1"",""SubjectName"":""UnknownOID=1.3.6.1.4.1.311.60.2.1.3, UnknownOID=1.3.6.1.4.1.311.60.2.1.2, UnknownOID=2.5.4.15, SN=5195380, C=US, ST=California, L=Mountain View, O=Elasticsearch, Inc., CN=Elasticsearch, Inc."",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,127.0.0.1,6789,0.0.0.0,0,2026-04-25T15:21:56Z
2444,836,elastic-agent.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\elastic-agent.exe,"""C:\Program Files\Elastic\Agent\elastic-agent.exe""","{""MD5"":""c00a8b109a07e85b2ab7e57a8ebbb5bc"",""SHA1"":""6b9ce2088ca62087f0e634a910f63d92e8591015"",""SHA256"":""fd833d70eab6258a8618801ca6d3538cf51375062c620575d27a2bb5d0a6f623""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\elastic-agent.exe"",""ProgramName"":"""",""PublisherLink"":null,""MoreInfoLink"":"""",""SerialNumber"":""ed3d34f2aadc84a5d3d65f14a1e05f5"",""IssuerName"":""C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1"",""SubjectName"":""UnknownOID=1.3.6.1.4.1.311.60.2.1.3, UnknownOID=1.3.6.1.4.1.311.60.2.1.2, UnknownOID=2.5.4.15, SN=5195380, C=US, ST=California, L=Mountain View, O=Elasticsearch, Inc., CN=Elasticsearch, Inc."",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,ESTAB,127.0.0.1,6789,127.0.0.1,49696,2026-04-25T15:22:11Z
2444,836,elastic-agent.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\elastic-agent.exe,"""C:\Program Files\Elastic\Agent\elastic-agent.exe""","{""MD5"":""c00a8b109a07e85b2ab7e57a8ebbb5bc"",""SHA1"":""6b9ce2088ca62087f0e634a910f63d92e8591015"",""SHA256"":""fd833d70eab6258a8618801ca6d3538cf51375062c620575d27a2bb5d0a6f623""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\elastic-agent.exe"",""ProgramName"":"""",""PublisherLink"":null,""MoreInfoLink"":"""",""SerialNumber"":""ed3d34f2aadc84a5d3d65f14a1e05f5"",""IssuerName"":""C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1"",""SubjectName"":""UnknownOID=1.3.6.1.4.1.311.60.2.1.3, UnknownOID=1.3.6.1.4.1.311.60.2.1.2, UnknownOID=2.5.4.15, SN=5195380, C=US, ST=California, L=Mountain View, O=Elasticsearch, Inc., CN=Elasticsearch, Inc."",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,ESTAB,127.0.0.1,6789,127.0.0.1,49720,2026-04-25T15:22:11Z
2444,836,elastic-agent.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\elastic-agent.exe,"""C:\Program Files\Elastic\Agent\elastic-agent.exe""","{""MD5"":""c00a8b109a07e85b2ab7e57a8ebbb5bc"",""SHA1"":""6b9ce2088ca62087f0e634a910f63d92e8591015"",""SHA256"":""fd833d70eab6258a8618801ca6d3538cf51375062c620575d27a2bb5d0a6f623""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\elastic-agent.exe"",""ProgramName"":"""",""PublisherLink"":null,""MoreInfoLink"":"""",""SerialNumber"":""ed3d34f2aadc84a5d3d65f14a1e05f5"",""IssuerName"":""C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1"",""SubjectName"":""UnknownOID=1.3.6.1.4.1.311.60.2.1.3, UnknownOID=1.3.6.1.4.1.311.60.2.1.2, UnknownOID=2.5.4.15, SN=5195380, C=US, ST=California, L=Mountain View, O=Elasticsearch, Inc., CN=Elasticsearch, Inc."",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,127.0.0.1,6791,0.0.0.0,0,2026-04-25T15:21:56Z
2444,836,elastic-agent.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\elastic-agent.exe,"""C:\Program Files\Elastic\Agent\elastic-agent.exe""","{""MD5"":""c00a8b109a07e85b2ab7e57a8ebbb5bc"",""SHA1"":""6b9ce2088ca62087f0e634a910f63d92e8591015"",""SHA256"":""fd833d70eab6258a8618801ca6d3538cf51375062c620575d27a2bb5d0a6f623""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\elastic-agent.exe"",""ProgramName"":"""",""PublisherLink"":null,""MoreInfoLink"":"""",""SerialNumber"":""ed3d34f2aadc84a5d3d65f14a1e05f5"",""IssuerName"":""C=US, O=DigiCert, Inc., CN=DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1"",""SubjectName"":""UnknownOID=1.3.6.1.4.1.311.60.2.1.3, UnknownOID=1.3.6.1.4.1.311.60.2.1.2, UnknownOID=2.5.4.15, SN=5195380, C=US, ST=California, L=Mountain View, O=Elasticsearch, Inc., CN=Elasticsearch, Inc."",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,ESTAB,127.0.0.1,6791,127.0.0.1,56608,2026-04-25T20:47:50Z
856,692,lsass.exe,C:\Windows\System32\lsass.exe,C:\WINDOWS\system32\lsass.exe,"{""MD5"":""85d4d595fe7dc3ed6213adf32b83dc73"",""SHA1"":""b09abc0b6e7de15151057b4ac75a9051fa9fdea9"",""SHA256"":""0d8420567f868b7df9d89567dbf8f86f1a7df51fc8719d28cb904b0b066d20f2""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\lsass.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""33000005402a4ad7d23121a615000000000540"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-04-25T15:21:48Z
692,608,wininit.exe,C:\Windows\System32\wininit.exe,wininit.exe,"{""MD5"":""be56bf8e9c903353e491274a50e06f93"",""SHA1"":""bb2a108d72ffa271ff82773c198c9a057c864127"",""SHA256"":""9f65b53bbaa5dbce9e76c474b5fa446599ca0e67b61311b9a8923de49f8e0e8f""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\wininit.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""3300000546b33d3b43c394c817000000000546"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-04-25T15:21:48Z
1388,836,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule,"{""MD5"":""b1c5636ec08026fd0f8ccbff49ed7e59"",""SHA1"":""d87367d5078c476b109dc3312b62781513330055"",""SHA256"":""44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\svchost.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""33000005402a4ad7d23121a615000000000540"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-04-25T15:21:49Z
2008,836,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,"{""MD5"":""b1c5636ec08026fd0f8ccbff49ed7e59"",""SHA1"":""d87367d5078c476b109dc3312b62781513330055"",""SHA256"":""44fd6f9347ceed5798a25c47167f335ef085ae4648a81f775dd4bdc6240d8189""}",NT AUTHORITY\LOCAL SERVICE,"{""Filename"":""C:\\Windows\\System32\\svchost.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""33000005402a4ad7d23121a615000000000540"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-04-25T15:21:49Z
2792,836,spoolsv.exe,C:\Windows\System32\spoolsv.exe,C:\WINDOWS\System32\spoolsv.exe,"{""MD5"":""21ed19aaccc7b2ad7ffa5227ee2b21e3"",""SHA1"":""cbaf5779c8bdda1dcf3f6e8fc6ee4e948eb45cce"",""SHA256"":""22c017cfe911260a5e7c446f72e44a95b4f272b54018050862470536d82c8ce6""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\spoolsv.exe"",""ProgramName"":""Microsoft"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com"",""SerialNumber"":""3300000519daddaa8bdc44b292000000000519"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":{""Catalog"":""C:\\WINDOWS\\system32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package02~31bf3856ad364e35~amd64~~10.0.26100.8246.cat""}}",IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-04-25T15:21:50Z
4512,2444,elastic-otel-collector.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe,"""C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe"" --supervised --supervised.monitoring.url=npipe:///ZaV_0OLb1vdHHFhzn0256b16Lra5CAQJ.sock --feature-gates=telemetry.newPipelineTelemetry --supervised.logging.level=info","{""MD5"":""bfc0bab31da9195b82a8d4b15682f527"",""SHA1"":""df6d4690ef5fc3d0f01e8f443fc7e87bd39b12df"",""SHA256"":""1f97fefbfd849f24180d451a5f7b4e5dfaf01415cc15491f4811613cbde139f1""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\components\\elastic-otel-collector.exe"",""ProgramName"":null,""PublisherLink"":null,""MoreInfoLink"":null,""SerialNumber"":null,""IssuerName"":null,""SubjectName"":null,""Timestamp"":null,""Trusted"":""untrusted"",""_ExtraInfo"":{""Catalog"":""""}}",IPv4,TCP,LISTEN,127.0.0.1,49673,0.0.0.0,0,2026-04-25T15:22:11Z
4512,2444,elastic-otel-collector.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe,"""C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe"" --supervised --supervised.monitoring.url=npipe:///ZaV_0OLb1vdHHFhzn0256b16Lra5CAQJ.sock --feature-gates=telemetry.newPipelineTelemetry --supervised.logging.level=info","{""MD5"":""bfc0bab31da9195b82a8d4b15682f527"",""SHA1"":""df6d4690ef5fc3d0f01e8f443fc7e87bd39b12df"",""SHA256"":""1f97fefbfd849f24180d451a5f7b4e5dfaf01415cc15491f4811613cbde139f1""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Program Files\\Elastic\\Agent\\data\\elastic-agent-9.3.3+build202604082258-d70142\\components\\elastic-otel-collector.exe"",""ProgramName"":null,""PublisherLink"":null,""MoreInfoLink"":null,""SerialNumber"":null,""IssuerName"":null,""SubjectName"":null,""Timestamp"":null,""Trusted"":""untrusted"",""_ExtraInfo"":{""Catalog"":""""}}",IPv4,TCP,ESTAB,127.0.0.1,49673,127.0.0.1,56603,2026-04-25T20:47:50Z
836,692,services.exe,C:\Windows\System32\services.exe,C:\WINDOWS\system32\services.exe,"{""MD5"":""fea300d083f897fb2e439d70eb452909"",""SHA1"":""0da44391a6a43afe7fa5fda2a4166f79c4c0d656"",""SHA256"":""7f408ec593109215e002efdafd321b385c8dde6f8b3d334efafbb991521e814e""}",NT AUTHORITY\SYSTEM,"{""Filename"":""C:\\Windows\\System32\\services.exe"",""ProgramName"":""Microsoft Windows"",""PublisherLink"":null,""MoreInfoLink"":""http://www.microsoft.com/windows"",""SerialNumber"":""3300000546b33d3b43c394c817000000000546"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Production PCA 2011"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Windows Publisher"",""Timestamp"":null,""Trusted"":""trusted"",""_ExtraInfo"":null}",IPv4,TCP,LISTEN,0.0.0.0,49674,0.0.0.0,0,2026-04-25T15:21:57Z
